City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
148,Ridgecrest,US,2020-05-09 20:47:50,35.62,-117.67,93.2,9,1,9.17,clear sky,0.0,0.0
149,Hamilton,US,2020-05-09 20:45:44,39.18,-84.53,55.99,32,1,13.87,clear sky,0.0,0.0
150,Hokitika,NZ,2020-05-09 20:49:45,-42.72,170.97,53.85,80,88,4.61,overcast clouds,0.0,0.0
151,Salekhard,RU,2020-05-09 20:49:45,66.53,66.6,35.1,86,100,1.83,overcast clouds,0.0,0.0
152,Abha,SA,2020-05-09 20:49:45,18.22,42.51,69.8,82,1,1.12,clear sky,0.0,0.0
153,Cap Malheureux,MU,2020-05-09 20:49:45,-19.98,57.61,71.01,81,0,3.0,clear sky,0.0,0.0
154,Tortoli,IT,2020-05-09 20:49:46,39.93,9.66,64.4,93,40,12.75,scattered clouds,0.0,0.0
155,Sibolga,ID,2020-05-09 20:49:46,1.74,98.78,77.63,82,100,3.33,overcast clouds,0.0,0.0
156,Saint Charles,US,2020-05-09 20:49:37,38.78,-90.48,64.99,29,75,6.93,broken clouds,0.0,0.0
157,Bonthe,SL,2020-05-09 20:49:47,7.53,-12.51,81.37,86,100,6.46,light rain,0.0,0.0
158,Batemans Bay,AU,2020-05-09 20:48:39,-35.72,150.18,39.0,91,0,8.88,clear sky,0.0,0.0
159,Mikhaylovsk,RU,2020-05-09 20:49:47,45.13,42.03,46.4,65,76,11.18,broken clouds,0.0,0.0
160,Vostok,RU,2020-05-09 20:49:47,46.49,135.88,44.76,95,100,3.83,light rain,0.0,0.0
161,Bagru,IN,2020-05-09 20:49:48,26.81,75.54,91.17,17,68,7.47,broken clouds,0.0,0.0
162,Dutlwe,BW,2020-05-09 20:49:48,-23.98,23.9,62.24,43,0,9.08,clear sky,0.0,0.0
163,Hambantota,LK,2020-05-09 20:49:48,6.12,81.12,81.48,84,100,6.89,overcast clouds,0.0,0.0
164,Yellowknife,CA,2020-05-09 20:46:02,62.46,-114.35,33.8,50,40,10.29,scattered clouds,0.0,0.0
165,Kabalo,CD,2020-05-09 20:49:49,-6.05,26.92,71.29,92,2,3.8,clear sky,0.0,0.0
166,Haines Junction,CA,2020-05-09 20:49:49,60.75,-137.51,64.6,37,48,1.99,scattered clouds,0.0,0.0
167,Sobolevo,RU,2020-05-09 20:45:49,54.43,31.9,48.18,77,86,4.07,overcast clouds,0.0,0.0
168,Berlevag,NO,2020-05-09 20:49:49,70.86,29.09,31.57,90,97,5.61,overcast clouds,0.0,0.0
169,Vucje,RS,2020-05-09 20:49:50,42.87,21.91,60.8,55,1,4.7,clear sky,0.0,0.0
170,Kraliky,CZ,2020-05-09 20:49:50,50.08,16.76,57.0,71,100,3.83,overcast clouds,0.0,0.0
171,Lishui,CN,2020-05-09 20:49:50,28.46,119.91,74.05,89,100,2.71,light rain,0.0,0.0
172,Aswan,EG,2020-05-09 20:49:51,24.09,32.91,75.4,23,0,14.03,clear sky,0.0,0.0
173,Hofn,IS,2020-05-09 20:49:51,64.25,-15.21,33.91,76,100,9.95,overcast clouds,0.0,0.0
174,Hobyo,SO,2020-05-09 20:49:52,5.35,48.53,84.25,76,52,9.89,broken clouds,0.0,0.0
175,Chapais,CA,2020-05-09 20:49:52,49.78,-74.85,26.6,63,90,12.75,light snow,0.0,0.0
176,Kalmunai,LK,2020-05-09 20:49:52,7.42,81.82,80.62,82,100,3.27,overcast clouds,0.0,0.0
177,Port Hedland,AU,2020-05-09 20:49:52,-20.32,118.57,69.8,30,58,6.93,broken clouds,0.0,0.0
178,Peniche,PT,2020-05-09 20:45:28,39.36,-9.38,60.01,82,62,11.01,light rain,0.0,0.0
179,Alofi,NU,2020-05-09 20:49:53,-19.06,-169.92,82.4,83,44,9.17,scattered clouds,0.0,0.0
180,Aliwal North,ZA,2020-05-09 20:49:53,-30.69,26.71,52.25,42,0,1.5,clear sky,0.0,0.0
181,Xihe,CN,2020-05-09 20:49:53,31.69,113.47,56.88,87,40,5.55,scattered clouds,0.0,0.0
182,Hithadhoo,MV,2020-05-09 20:49:53,-0.6,73.08,84.67,78,94,12.66,light rain,0.0,0.0
183,Estevan,CA,2020-05-09 20:49:54,49.13,-102.98,46.99,39,75,6.93,broken clouds,0.0,0.0
184,Beringovskiy,RU,2020-05-09 20:49:54,63.05,179.32,33.03,95,100,36.62,snow,0.0,0.0
185,Emilio Carranza,MX,2020-05-09 20:49:54,19.97,-96.61,83.32,66,3,20.42,clear sky,0.0,0.0
186,Margate,GB,2020-05-09 20:49:54,51.38,1.39,57.99,79,61,13.2,broken clouds,0.0,0.0
