City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Lompoc,US,2020-01-05 14:22:32,34.64,-120.46,53.01,93,40,14.61
141,Price,US,2020-01-05 14:22:32,39.6,-110.81,24.01,84,1,2.1
142,Mataura,NZ,2020-01-05 14:22:33,-46.19,168.86,48.0,90,100,15.01
143,Aripuana,BR,2020-01-05 14:21:35,-9.17,-60.63,74.17,95,100,3.24
144,Arman,RU,2020-01-05 14:22:33,59.7,150.17,19.33,65,14,8.23
145,Huaral,PE,2020-01-05 14:22:33,-11.5,-77.21,77.0,69,59,6.93
146,Sao Joao Da Barra,BR,2020-01-05 14:22:33,-21.64,-41.05,89.6,74,75,4.7
147,Wladyslawowo,PL,2020-01-05 14:22:34,54.79,18.4,36.0,74,3,5.82
148,La Rochelle,FR,2020-01-05 14:22:34,46.16,-1.15,48.2,66,0,11.41
149,Puerto Ayora,EC,2020-01-05 14:22:34,-0.74,-90.35,80.6,61,75,8.05
150,Mount Isa,AU,2020-01-05 14:22:34,-20.73,139.49,93.2,34,91,11.41
151,Murray Bridge,AU,2020-01-05 14:22:35,-35.12,139.28,62.01,91,100,1.01
152,Bakov Nad Jizerou,CZ,2020-01-05 14:22:35,50.48,14.94,41.0,64,40,5.82
153,Santa Cruz,BR,2020-01-05 14:22:35,-6.22,-36.02,98.2,29,100,5.08
154,Lavrentiya,RU,2020-01-05 14:22:35,65.58,-170.99,-10.12,87,95,8.46
155,Sorong,ID,2020-01-05 14:22:36,-0.86,131.25,75.09,95,29,3.8
156,Craig,US,2020-01-05 14:22:36,40.52,-107.55,15.8,83,20,5.79
157,Victoria,BN,2020-01-05 14:20:31,5.28,115.24,82.4,83,75,6.93
158,Arlit,NE,2020-01-05 14:22:36,18.74,7.39,75.74,10,0,0.85
159,Emba,CY,2020-01-05 14:22:37,34.81,32.42,62.6,63,75,10.29
160,Mar Del Plata,AR,2020-01-05 14:19:56,-46.43,-67.52,67.89,29,16,19.66
161,Bell Ville,AR,2020-01-05 14:22:37,-32.63,-62.69,86.0,52,0,8.01
162,Brae,GB,2020-01-05 14:22:37,60.4,-1.35,50.0,93,100,29.97
163,Verkhoyansk,RU,2020-01-05 14:22:38,67.55,133.39,-27.58,84,97,0.56
